departamento;municipio;armas medios;cantidad;dia;mes;periodo;diasem
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;14;11;2012;4
atlantico;barranquilla (ct);arma de fuego;2;16;11;2012;6
valle;cali (ct);arma de fuego;1;23;11;2012;6
magdalena;plato;contundentes;1;27;11;2012;3
antioquia;sabaneta;arma de fuego;1;28;11;2012;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;28;11;2012;4
atlantico;repelon;arma de fuego;1;29;11;2012;5
atlantico;barranquilla (ct);arma de fuego;1;30;11;2012;6
atlantico;barranquilla (ct);arma de fuego;1;5;12;2012;4
sucre;san pedro;arma de fuego;1;11;12;2012;3
antioquia;medellin (ct);arma de fuego;1;13;12;2012;5
magdalena;santa marta (ct);arma de fuego;1;13;12;2012;5
antioquia;medellin (ct);arma de fuego;1;19;12;2012;4
antioquia;medellin (ct);arma de fuego;1;20;12;2012;5
huila;pitalito;arma de fuego;1;23;12;2012;1
atlantico;barranquilla (ct);arma de fuego;1;28;12;2012;6
antioquia;medellin (ct);arma de fuego;1;4;1;2013;6
cordoba;buenavista;arma de fuego;1;9;1;2013;4
antioquia;medellin (ct);arma de fuego;1;14;1;2013;2
antioquia;medellin (ct);arma de fuego;1;16;1;2013;4
valle;candelaria;arma de fuego;1;22;1;2013;3
antioquia;medellin (ct);arma de fuego;1;28;1;2013;2
antioquia;medellin (ct);arma de fuego;2;4;2;2013;2
magdalena;fundacion;arma de fuego;1;4;2;2013;2
magdalena;santa marta (ct);arma de fuego;1;4;2;2013;2
antioquia;medellin (ct);arma de fuego;1;7;2;2013;5
antioquia;medellin (ct);arma de fuego;1;13;2;2013;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;2;13;2;2013;4
cesar;chimichagua;arma de fuego;1;14;2;2013;5
valle;cali (ct);arma de fuego;1;14;2;2013;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;21;2;2013;5
antioquia;medellin (ct);arma de fuego;1;25;2;2013;2
antioquia;envigado;arma de fuego;1;7;3;2013;5
valle;palmira;arma de fuego;1;8;3;2013;6
magdalena;santa marta (ct);sin empleo de armas;1;8;3;2013;6
antioquia;medellin (ct);sin empleo de armas;1;13;3;2013;4
antioquia;rionegro;arma de fuego;1;15;3;2013;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;15;3;2013;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;19;3;2013;3
atlantico;barranquilla (ct);arma de fuego;1;22;3;2013;6
narino;ipiales;arma de fuego;1;25;3;2013;2
antioquia;medellin (ct);arma de fuego;1;26;3;2013;3
magdalena;sabanas de san angel;arma de fuego;1;3;4;2013;4
antioquia;medellin (ct);arma de fuego;1;5;4;2013;6
antioquia;bello;sin empleo de armas;1;6;4;2013;7
huila;neiva (ct);arma de fuego;1;12;4;2013;6
antioquia;medellin (ct);arma de fuego;1;17;4;2013;4
santander;lebrija;arma de fuego;1;25;4;2013;5
antioquia;envigado;arma de fuego;1;1;5;2013;4
huila;neiva (ct);arma de fuego;1;8;5;2013;4
antioquia;medellin (ct);arma de fuego;1;14;5;2013;3
antioquia;itagui;sin empleo de armas;1;16;5;2013;5
antioquia;medellin (ct);arma de fuego;1;17;5;2013;6
antioquia;medellin (ct);arma de fuego;1;23;5;2013;5
atlantico;barranquilla (ct);arma de fuego;1;24;5;2013;6
cordoba;planeta rica;arma de fuego;1;27;5;2013;2
atlantico;juan de acosta;arma de fuego;1;29;5;2013;4
antioquia;bello;arma de fuego;1;30;5;2013;5
antioquia;medellin (ct);arma de fuego;1;4;6;2013;3
antioquia;medellin (ct);arma de fuego;1;5;6;2013;4
bolivar;san jacinto;arma de fuego;1;6;6;2013;5
norte de santander;lourdes;arma de fuego;1;6;6;2013;5
antioquia;medellin (ct);arma de fuego;1;13;6;2013;5
antioquia;abejorral;contundentes;1;15;7;2013;2
huila;neiva (ct);arma de fuego;1;19;7;2013;6
antioquia;medellin (ct);contundentes;1;21;7;2013;1
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;26;7;2013;6
huila;neiva (ct);arma de fuego;1;27;7;2013;7
atlantico;barranquilla (ct);arma de fuego;1;8;8;2013;5
bolivar;cartagena (ct);arma de fuego;1;8;8;2013;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;9;8;2013;6
norte de santander;convencion;arma de fuego;1;14;8;2013;4
atlantico;soledad;arma de fuego;1;26;8;2013;2
magdalena;santa marta (ct);arma de fuego;1;2;9;2013;2
atlantico;malambo;arma de fuego;1;4;9;2013;4
